12:00:01 AM  pgpgin/s pgpgout/s   fault/s  majflt/s  pgfree/s pgscank/s pgscand/s pgsteal/s    %vmeff
12:10:23 AM    139.47    440.48   3394.41      1.48   6114.63      0.00      0.00      0.00      0.00
12:20:08 AM      0.00    110.78    486.57      0.00   1494.89      0.00      0.00      0.00      0.00
12:30:10 AM      0.00     59.90    248.51      0.00   1165.67      0.00      0.00      0.00      0.00
12:40:01 AM      0.23    124.73    687.99      0.01   2496.27      0.00      0.00      0.00      0.00
12:50:14 AM      0.08    155.16    822.78      0.00   2359.76      0.00      0.00      0.00      0.00
01:00:00 AM      5.51    164.53   2099.07      0.01   4200.94      0.00      0.00      0.00      0.00
01:10:34 AM      0.00    102.17    336.08      0.00   1006.42      0.00      0.00      0.00      0.00
01:20:01 AM      0.00     96.19    179.72      0.00   1004.18      0.00      0.00      0.00      0.00
01:30:00 AM      0.00     66.10    212.69      0.00   1891.05      0.00      0.00      0.00      0.00
01:40:07 AM      0.00     58.73    172.90      0.00   2066.17      0.00      0.00      0.00      0.00
01:50:04 AM      1.34    152.57   1219.85      0.00   3881.13      0.00      0.00      0.00      0.00
02:00:01 AM      5.73     90.68    599.32      0.00   2489.39      0.00      0.00      0.00      0.00
02:10:00 AM     34.86    315.09   3212.16      0.01  21333.98      0.00      0.00      0.00      0.00
02:20:04 AM      0.15    168.60   1577.22      0.00  18367.75      0.00      0.00      0.00      0.00
02:30:04 AM     12.83    216.41   3655.06      0.02   8230.96      0.00      0.00      0.00      0.00
02:40:01 AM      0.00     81.17    274.63      0.00   2213.34      0.00      0.00      0.00      0.00
02:50:04 AM      0.02    107.44    306.48      0.00   5699.49      0.00      0.00      0.00      0.00
03:00:09 AM     20.47    200.69   2386.93      0.04   9314.90      0.00      0.00      0.00      0.00
03:10:03 AM      3.14    223.14   4109.14      0.04  18861.74      0.00      0.00      0.00      0.00
03:20:01 AM     28.16    275.56   3435.12      0.00  12851.54      0.00      0.00      0.00      0.00
10:38:59 AM  LINUX RESTART	(12 CPU)
10:40:00 AM  pgpgin/s pgpgout/s   fault/s  majflt/s  pgfree/s pgscank/s pgscand/s pgsteal/s    %vmeff
10:50:04 AM    169.37     21.29     69.21      1.08    104.08      0.00      0.00      0.00      0.00
11:03:10 AM      1.31      5.25     14.24      0.00     20.15      0.00      0.00      0.00      0.00
11:10:08 AM   1732.54    358.67   3414.19      8.57   4867.48      0.00      0.00      0.00      0.00
11:20:03 AM      0.16     52.93    184.22      0.00    757.94      0.00      0.00      0.00      0.00
11:30:27 AM      0.02     56.21    228.64      0.00   1063.24      0.00      0.00      0.00      0.00
11:40:27 AM     13.43    102.57    841.44      0.06   2023.21      0.00      0.00      0.00      0.00
11:50:09 AM      0.59     64.90   1235.58      0.01   2246.62      0.00      0.00      0.00      0.00
12:00:27 PM      0.02     56.80    626.37      0.00   1533.98      0.00      0.00      0.00      0.00
12:10:16 PM      6.98     43.73    551.90      0.03    943.95      0.00      0.00      0.00      0.00
12:20:09 PM      0.65     73.52    342.40      0.00   1459.60      0.00      0.00      0.00      0.00
12:30:03 PM      0.35     88.76    790.35      0.01   2197.33      0.00      0.00      0.00      0.00
12:40:23 PM      0.09     70.31   1302.91      0.01   1768.85      0.00      0.00      0.00      0.00
12:50:27 PM      0.04     67.36   1037.47      0.00   2331.85      0.00      0.00      0.00      0.00
01:00:27 PM      5.43    131.91   2114.00      0.01   3282.75      0.00      0.00      0.00      0.00
01:10:07 PM      0.54     63.81    262.21      0.01   1233.14      0.00      0.00      0.00      0.00
01:20:22 PM      0.02     54.53    821.45      0.00   1456.15      0.00      0.00      0.00      0.00
06:45:56 PM      0.01      0.62      2.97      0.00     23.45      0.00      0.00      0.00      0.00
06:50:12 PM    171.35    467.67   3643.06      0.30   6774.04      0.00      0.00      0.00      0.00
07:00:10 PM     15.84    187.53   1774.42      0.11   8630.03      0.00      0.00      0.00      0.00
07:10:02 PM    135.65    291.80   2781.22      0.05  10483.14      0.00      0.00      0.00      0.00
07:20:02 PM      3.37    106.38   1543.86      0.01  14374.70      0.00      0.00      0.00      0.00
08:06:52 PM      0.35      8.87     71.66      0.00   1930.67      0.00      0.00      0.00      0.00
08:10:13 PM      0.00     36.05     69.35      0.00    281.59      0.00      0.00      0.00      0.00
