Linux 6.8.0-48-generic (lakshay-baijal-Inspiron-15-3530) 	11/28/2024 	_x86_64_	(12 CPU)

12:00:01 AM  pswpin/s pswpout/s
12:10:23 AM      0.00      0.00
12:20:08 AM      0.00      0.00
12:30:10 AM      0.00      0.00
12:40:01 AM      0.00      0.00
12:50:14 AM      0.00      0.00
01:00:00 AM      0.00      0.00
01:10:34 AM      0.00      0.00
01:20:01 AM      0.00      0.00
01:30:00 AM      0.00      0.00
01:40:07 AM      0.00      0.00
01:50:04 AM      0.00      0.00
02:00:01 AM      0.00      0.00
02:10:00 AM      0.00      0.00
02:20:04 AM      0.00      0.00
02:30:04 AM      0.00      0.00
02:40:01 AM      0.00      0.00
02:50:04 AM      0.00      0.00
03:00:09 AM      0.00      0.00
03:10:03 AM      0.00      0.00
03:20:01 AM      0.00      0.00
Average:         0.00      0.00

10:38:59 AM  LINUX RESTART	(12 CPU)

10:40:00 AM  pswpin/s pswpout/s
10:50:04 AM      0.00      0.00
11:03:10 AM      0.00      0.00
11:10:08 AM      0.00      0.00
11:20:03 AM      0.00      0.00
11:30:27 AM      0.00      0.00
11:40:27 AM      0.00      0.00
11:50:09 AM      0.00      0.00
12:00:27 PM      0.00      0.00
12:10:16 PM      0.00      0.00
12:20:09 PM      0.00      0.00
12:30:03 PM      0.00      0.00
12:40:23 PM      0.00      0.00
12:50:27 PM      0.00      0.00
01:00:27 PM      0.00      0.00
01:10:07 PM      0.00      0.00
01:20:22 PM      0.00      0.00
06:45:56 PM      0.00      0.00
06:50:12 PM      0.00      0.00
07:00:10 PM      0.00      0.00
07:10:02 PM      0.00      0.00
07:20:02 PM      0.00      0.00
08:06:52 PM      0.00      0.00
08:10:13 PM      0.00      0.00
Average:         0.00      0.00
